frame 45: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.408  submit 0.380  passA 1.732  passW 0.000  passB 10.288  gpu 12.020  total 14.281 ms
frame 46: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.434  submit 0.380  passA 2.581  passW 0.000  passB 9.372  gpu 11.953  total 14.183 ms
frame 47: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.410  submit 0.394  passA 2.637  passW 0.000  passB 9.497  gpu 12.134  total 14.443 ms
frame 48: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.481  submit 0.569  passA 2.720  passW 0.000  passB 9.515  gpu 12.235  total 14.574 ms
frame 49: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.412  submit 0.394  passA 1.764  passW 0.000  passB 9.426  gpu 11.190  total 14.202 ms
frame 50: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.663  submit 0.544  passA 1.791  passW 0.000  passB 9.427  gpu 11.218  total 14.157 ms
frame 51: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.699  submit 0.681  passA 1.747  passW 0.000  passB 9.487  gpu 11.235  total 14.126 ms
frame 52: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.598  submit 0.434  passA 3.875  passW 0.000  passB 8.314  gpu 12.189  total 17.145 ms
frame 53: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.474  submit 0.442  passA 1.946  passW 0.000  passB 8.389  gpu 10.335  total 14.390 ms
frame 54: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.501  submit 0.437  passA 1.708  passW 0.000  passB 8.166  gpu 9.874  total 13.886 ms
frame 55: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.476  submit 0.446  passA 1.829  passW 0.000  passB 8.069  gpu 9.898  total 13.999 ms
frame 56: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.456  passA 1.784  passW 0.000  passB 8.313  gpu 10.098  total 14.218 ms
frame 57: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.486  submit 0.444  passA 1.715  passW 0.000  passB 8.095  gpu 9.811  total 14.010 ms
frame 58: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.498  submit 0.546  passA 1.797  passW 0.000  passB 10.279  gpu 12.075  total 16.366 ms
frame 59: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.526  submit 0.657  passA 1.777  passW 0.000  passB 10.308  gpu 12.085  total 14.425 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.699463 s, 35.305 fps, frame wall ms max 796.975 p50 14.409 p95 19.122 p99 796.975, <=4.167ms 0.0%
60 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
