frame 68: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.292  submit 0.986  passA 8.555  passW 1.473  passB 45.282  gpu 53.839  total 60.016 ms
frame 69: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.287  submit 1.053  passA 9.039  passW 1.586  passB 107.574  gpu 116.613  total 120.438 ms
frame 70: 57628 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.295  submit 0.823  passA 8.541  passW 0.274  passB 47.183  gpu 55.726  total 61.907 ms
frame 71: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.284  submit 0.830  passA 9.053  passW 0.284  passB 109.254  gpu 118.309  total 121.086 ms
frame 72: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.187  submit 0.239  passA 1.220  passW 0.010  passB 0.262  gpu 1.482  total 6.588 ms
frame 73: 56304 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.244  submit 0.732  passA 10.109  passW 0.278  passB 109.329  gpu 119.439  total 120.603 ms
frame 74: 56771 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.302  submit 0.866  passA 10.287  passW 0.282  passB 53.016  gpu 63.304  total 69.302 ms
frame 75: 56588 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.255  submit 0.801  passA 9.040  passW 0.289  passB 54.674  gpu 63.715  total 67.621 ms
frame 76: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.246  submit 0.817  passA 8.650  passW 0.282  passB 54.416  gpu 63.067  total 66.029 ms
frame 77: 56492 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.280  submit 1.681  passA 9.846  passW 1.437  passB 53.928  gpu 63.776  total 66.835 ms
frame 78: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.254  submit 0.769  passA 10.037  passW 0.281  passB 54.137  gpu 64.175  total 69.236 ms
frame 79: 56382 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.233  submit 0.735  passA 9.735  passW 0.293  passB 54.651  gpu 64.387  total 69.492 ms
frame 80: 56849 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.231  submit 0.773  passA 10.974  passW 0.283  passB 54.615  gpu 65.590  total 67.546 ms
frame 81: 56487 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.261  submit 0.915  passA 10.939  passW 0.282  passB 54.008  gpu 64.949  total 69.149 ms
frame 82: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.232  submit 1.797  passA 11.027  passW 0.280  passB 53.461  gpu 64.490  total 66.658 ms
frame 83: 56446 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.228  submit 0.783  passA 10.168  passW 0.279  passB 53.279  gpu 63.448  total 66.103 ms
frame 84: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.288  submit 1.224  passA 10.138  passW 1.061  passB 52.614  gpu 62.753  total 68.560 ms
frame 85: 56510 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.273  submit 0.808  passA 9.005  passW 0.289  passB 52.825  gpu 61.829  total 67.518 ms
frame 86: 56785 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.233  submit 0.743  passA 9.762  passW 0.282  passB 54.524  gpu 64.286  total 67.593 ms
frame 87: 56565 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.292  submit 0.768  passA 8.627  passW 0.280  passB 53.762  gpu 62.389  total 68.686 ms
