frame 87: 56565 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.226  submit 0.864  passA 10.144  passW 0.279  passB 54.564  gpu 64.710  total 69.431 ms
frame 88: 56826 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.244  submit 0.960  passA 10.894  passW 0.281  passB 52.603  gpu 63.498  total 65.466 ms
frame 89: 56423 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.229  submit 0.872  passA 8.662  passW 0.292  passB 54.726  gpu 63.388  total 66.332 ms
frame 90: 57023 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.239  submit 0.833  passA 8.664  passW 1.417  passB 54.210  gpu 62.876  total 68.973 ms
frame 91: 56391 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.245  submit 0.956  passA 9.752  passW 1.420  passB 54.090  gpu 63.844  total 67.010 ms
frame 92: 56762 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.225  submit 0.845  passA 9.968  passW 0.281  passB 52.986  gpu 62.954  total 68.145 ms
frame 93: 56652 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.230  submit 0.844  passA 10.145  passW 0.279  passB 54.349  gpu 64.495  total 67.367 ms
frame 94: 56739 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.230  submit 0.883  passA 10.908  passW 0.283  passB 52.993  gpu 63.902  total 65.960 ms
frame 95: 56423 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.235  submit 0.867  passA 11.072  passW 0.279  passB 52.259  gpu 63.332  total 68.357 ms
frame 96: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.183  submit 0.227  passA 0.422  passW 0.008  passB 0.309  gpu 0.731  total 3.795 ms
frame 97: 1308 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.200  submit 0.217  passA 0.405  passW 0.008  passB 0.300  gpu 0.705  total 1.243 ms
frame 98: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.542  submit 0.224  passA 0.375  passW 0.007  passB 0.286  gpu 0.661  total 3.536 ms
frame 99: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.158  submit 0.186  passA 0.359  passW 0.007  passB 0.223  gpu 0.582  total 1.042 ms
frame 100: 1368 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.134  submit 0.133  passA 0.402  passW 0.008  passB 0.317  gpu 0.720  total 1.100 ms
frame 101: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.143  submit 0.148  passA 0.369  passW 0.007  passB 0.236  gpu 0.605  total 1.773 ms
frame 102: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.130  submit 0.132  passA 0.360  passW 0.007  passB 0.234  gpu 0.594  total 0.973 ms
frame 103: 1272 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.142  submit 0.170  passA 0.408  passW 0.008  passB 0.297  gpu 0.705  total 2.111 ms
frame 104: 1345 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.167  submit 0.202  passA 0.416  passW 0.008  passB 0.329  gpu 0.745  total 1.248 ms
frame 105: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.156  submit 0.176  passA 0.456  passW 0.008  passB 0.296  gpu 0.752  total 1.206 ms
frame 106: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.135  submit 0.140  passA 0.377  passW 0.007  passB 0.288  gpu 0.665  total 1.063 ms
frame 107: 1276 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.132  submit 0.143  passA 0.379  passW 0.007  passB 0.292  gpu 0.672  total 1.553 ms
frame 108: 1240 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.178  submit 0.148  passA 0.373  passW 0.008  passB 0.295  gpu 0.669  total 1.115 ms
frame 109: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.132  submit 0.136  passA 0.417  passW 0.008  passB 0.312  gpu 0.728  total 1.114 ms
