run,case,window,budget_mbps,payload_mbps
3,B,35,20.798,9.90648
3,B,36,20.798,9.90648
3,B,37,20.798,9.851444
3,B,38,20.798,9.90648
3,B,39,20.798,9.90648
3,B,40,20.798,9.851444
3,B,41,20.798,9.90648
3,B,42,20.798,9.90648
3,B,43,20.798,9.851444
3,B,44,20.798,9.90648
3,B,45,20.798,9.90648
3,B,46,20.798,9.851444
3,B,47,20.798,9.90648
3,B,48,20.798,9.90648
3,B,49,20.798,9.851444
3,B,50,20.798,9.851444
3,B,51,20.798,9.90648
3,B,52,20.798,9.851444
3,B,53,20.798,9.90648
3,B,54,20.798,9.851444
3,B,55,20.798,9.90648
4,A,0,10.451,8.763392
4,A,1,10.451,8.421408
4,A,2,10.451,8.421408
4,A,3,10.451,8.37284
4,A,4,10.451,8.37216
4,A,5,10.451,8.37284
4,A,6,10.451,8.421408
4,A,7,10.451,8.37284
4,A,8,10.451,8.421408
4,A,9,10.451,8.322912
4,A,10,10.451,8.37216
4,A,11,10.451,8.421408
4,A,12,10.451,8.37216
4,A,13,10.451,8.37216
4,A,14,10.451,8.422092
4,A,15,10.451,8.37216
4,A,16,10.451,8.37284
4,A,17,10.451,8.422092
4,A,18,10.451,8.421408
4,A,19,10.451,8.37284
4,A,20,10.451,8.37216
4,A,21,10.451,8.421408
4,A,22,10.451,8.37216
4,A,23,10.451,8.421408
4,A,24,10.451,8.37284
4,A,25,10.451,8.421408
4,A,26,10.451,8.37284
4,A,27,10.451,8.323588
4,A,28,10.451,8.422092
4,A,29,10.451,8.422092
4,A,30,10.451,8.421408
4,A,31,10.451,8.323588
4,A,32,10.451,8.421408
4,A,33,10.451,8.37216
4,A,34,10.451,8.421408
4,A,35,10.451,8.37216
4,A,36,10.451,8.422092
4,A,37,10.451,8.421408
4,A,38,10.451,8.323588
4,A,39,10.451,8.421408
4,A,40,10.451,8.422092
4,A,41,10.451,8.37284
4,A,42,10.451,8.37216
4,A,43,10.451,8.422092
4,A,44,10.451,8.421408
4,A,45,10.451,8.37216
4,A,46,10.451,8.422092
4,A,47,10.451,8.37216
4,A,48,10.451,8.422092
4,A,49,10.451,8.37284
4,A,50,10.451,8.422092
4,A,51,10.451,8.37284
4,A,52,10.451,8.421408
4,A,53,10.451,8.37216
4,A,54,10.451,8.421408
4,A,55,10.451,8.37216
