frame,decode_ms,render_ms,total_ms
476,0.369166,6.04724,6.41641
477,0.36099,3.31562,3.67661
478,0.458698,5.22854,5.68724
479,0.380677,6.01781,6.39849
480,0.306459,5.64969,5.95615
481,0.4925,5.70193,6.19443
482,0.333854,3.10812,3.44198
483,0.368177,5.11417,5.48234
484,0.548645,5.78026,6.32891
485,0.383334,5.61755,6.00089
486,0.389115,5.63865,6.02776
487,0.321614,3.21417,3.53578
488,0.463646,5.72073,6.18438
489,0.414167,5.5188,5.93297
490,0.345,5.80708,6.15208
491,0.514844,5.85297,6.36781
492,0.326354,3.23729,3.56365
493,0.415729,5.11443,5.53016
494,0.395053,5.94443,6.33948
495,0.307084,4.42573,4.73281
496,0.413229,6.87849,7.29172
497,0.331927,3.25057,3.5825
498,1.6262,4.93614,6.56234
499,0.417604,5.69589,6.11349
500,0.298125,5.56458,5.86271
501,0.396823,5.84271,6.23953
502,0.338334,4.07516,4.41349
503,0.486666,4.3575,4.84417
504,0.402552,5.63224,6.03479
505,0.689167,5.93859,6.62776
506,0.440312,5.72537,6.16568
507,0.320416,4.54136,4.86177
508,0.396459,6.67984,7.0763
509,0.355886,3.58594,3.94182
510,0.405417,5.61693,6.02234
511,0.376511,5.75094,6.12745
512,0.36474,4.69609,5.06083
513,0.424844,7.39109,7.81594
514,0.33224,3.27193,3.60417
515,0.318541,5.37708,5.69562
516,0.351875,5.63755,5.98943
517,0.35625,4.3638,4.72005
518,0.383594,6.81292,7.19651
519,0.390364,3.42896,3.81932
520,0.402604,5.77385,6.17646
521,0.391094,5.66802,6.05912
522,0.325,4.47542,4.80042
523,0.352812,6.91089,7.2637
524,0.37302,5.18437,5.55739
525,0.377552,7.0101,7.38766
526,0.409062,3.45823,3.86729
527,0.347969,5.64542,5.99339
528,0.407239,6.08464,6.49188
529,0.31599,4.38969,4.70568
530,0.700157,6.50531,7.20547
531,0.376458,3.15193,3.52839
532,0.306562,5.50828,5.81484
533,0.39974,5.92818,6.32792
534,0.398489,4.61365,5.01213
535,0.854114,6.59464,7.44875
536,0.324583,3.33536,3.65995
537,0.263489,5.56734,5.83083
538,0.515573,5.70177,6.21734
539,0.322083,5.79406,6.11615
540,0.461511,5.98864,6.45016
541,0.370313,3.33141,3.70172
542,0.287083,5.49333,5.78042
543,0.380625,5.85427,6.2349
544,0.296041,5.4876,5.78364
545,0.463803,5.66276,6.12656
546,0.317604,3.1126,3.43021
547,0.240625,5.45792,5.69854
548,0.505833,5.94219,6.44802
549,0.323021,4.38146,4.70448
550,0.430781,6.66927,7.10005
551,0.305312,3.16964,3.47495
552,0.266823,5.52292,5.78974
553,0.421094,5.58219,6.00328
554,0.29125,4.53026,4.82151
555,0.519375,4.54604,5.06542
556,0.433802,5.75323,6.18703
557,0.339636,5.54938,5.88901
558,0.511718,5.83479,6.34651
559,0.333281,4.34521,4.67849
560,0.487969,6.91688,7.40484
561,0.368907,3.21406,3.58297
562,0.371979,6.00807,6.38005
563,0.456928,5.62521,6.08214
564,0.296822,5.64052,5.93734
565,0.379375,6.57547,6.95484
566,0.322604,4.41875,4.74135
567,0.433854,4.35687,4.79073
568,0.353281,5.75828,6.11156
569,0.401354,6.08995,6.4913
570,0.609532,5.48901,6.09854
571,0.307916,4.5312,4.83911
572,0.703698,6.62609,7.32979
573,0.811302,3.5113,4.3226
574,0.56349,4.95193,5.51542
575,0.405677,5.77287,6.17854
576,0.41901,5.73479,6.1538
577,0.453541,6.10635,6.5599
578,0.316042,4.44323,4.75927
579,0.387343,4.35302,4.74036
580,0.386094,5.53365,5.91974
581,0.354791,5.49068,5.84547
582,0.364896,5.68094,6.04583
583,0.38375,3.27865,3.6624
584,0.299636,5.50193,5.80156
585,0.381979,5.77833,6.16031
586,0.2675,5.49844,5.76594
587,0.398646,4.99026,5.38891
588,1.1138,3.37521,4.48901
589,0.863906,4.99953,5.86344
590,0.375157,6.01536,6.39052
591,0.378281,5.62547,6.00375
592,0.416354,6.04719,6.46354
593,0.329063,3.18312,3.51219
594,0.332604,4.99573,5.32833
595,0.465677,5.57078,6.03646
596,0.336042,4.42818,4.76422
597,0.383281,3.91662,4.2999
598,0.464219,5.85635,6.32057
599,0.347083,5.48844,5.83552
600,0.403802,5.90146,6.30526
601,0.315938,4.34432,4.66026
602,0.357291,4.54531,4.9026
603,0.434011,5.79432,6.22833
604,0.295573,5.6187,5.91427
605,0.545833,5.87948,6.42531
606,0.365313,5.8912,6.25651
607,0.388906,5.99005,6.37896
608,0.426093,3.15943,3.58552
609,0.319115,5.29552,5.61463
610,0.389219,5.68594,6.07516
611,0.266458,5.79073,6.05719
612,0.698855,5.65135,6.35021
613,0.361511,3.255,3.61651
614,0.83724,4.79724,5.63448
615,0.396823,5.74406,6.14089
616,0.381198,5.75323,6.13443
617,0.421354,5.58469,6.00604
618,0.317865,3.49099,3.80885
619,0.380573,5.95333,6.33391
620,0.432343,5.68109,6.11344
621,0.306823,5.51208,5.81891
622,0.380052,5.94333,6.32339
623,0.302865,3.08099,3.38385
624,0.445937,5.32136,5.76729
625,0.379063,5.74411,6.12318
626,0.382396,5.92109,6.30349
627,0.48026,5.71339,6.19365
628,0.334218,4.42724,4.76146
629,0.433958,4.44318,4.87713
630,0.365573,5.85766,6.22323
631,0.394583,5.58286,5.97745
632,0.410157,5.68469,6.09484
633,0.433542,4.90401,5.33755
634,0.453438,6.90698,7.36042
635,0.351563,3.36401,3.71557
636,0.270364,5.46943,5.73979
637,0.376927,6.06672,6.44365
638,0.36625,5.57229,5.93854
639,0.363646,5.78338,6.14703
640,0.434271,3.41531,3.84958
641,0.863698,5.64656,6.51026
