frame,render_index,decode_ms,render_ms,total_ms
88,1,0,2.0299,2.0299
88,2,0,2.0275,2.0275
88,3,0,1.83713,1.83713
89,0,1.13906,3.22995,4.36901
89,1,0,1.82646,1.82646
89,2,0,1.82995,1.82995
89,3,0,1.83797,1.83797
90,0,0.85,3.26557,4.11557
90,1,0,1.81828,1.81828
90,2,0,1.82406,1.82406
90,3,0,1.85755,1.85755
91,0,0.977448,3.50906,4.48651
91,1,0,1.84146,1.84146
91,2,0,1.83344,1.83344
91,3,0,1.85427,1.85427
92,0,0.999427,3.73932,4.73875
92,1,0,2.04641,2.04641
92,2,0,2.02448,2.02448
92,3,0,1.85427,1.85427
93,0,1.10427,3.22385,4.32812
93,1,0,1.93255,1.93255
93,2,0,1.84354,1.84354
93,3,0,1.83312,1.83312
94,0,0.925416,3.14406,4.06948
94,1,0,1.85167,1.85167
94,2,0,1.85865,1.85865
94,3,0,1.88484,1.88484
95,0,1.19625,3.25156,4.44781
95,1,0,1.88213,1.88213
95,2,0,1.85193,1.85193
95,3,0,1.83891,1.83891
96,0,1.1575,3.33646,4.49396
96,1,0,2.11286,2.11286
96,2,0,2.01641,2.01641
96,3,0,3.96281,3.96281
97,0,1.19823,3.26094,4.45917
97,1,0,1.86625,1.86625
97,2,0,1.83187,1.83187
97,3,0,2.03193,2.03193
98,0,1.26656,3.15052,4.41708
98,1,0,2.18839,2.18839
98,2,0,2.47583,2.47583
98,3,0,2.07172,2.07172
99,0,1.22188,3.09078,4.31266
99,1,0,1.83354,1.83354
99,2,0,1.83688,1.83688
99,3,0,1.88958,1.88958
100,0,1.37771,3.36271,4.74042
100,1,0,1.86635,1.86635
100,2,0,1.85865,1.85865
100,3,0,1.83922,1.83922
101,0,0.969583,3.24042,4.21
101,1,0,1.87318,1.87318
101,2,0,1.82021,1.82021
101,3,0,1.82422,1.82422
102,0,0.935365,3.52963,4.465
102,1,0,2.01156,2.01156
102,2,0,2.12823,2.12823
102,3,0,1.89854,1.89854
103,0,1.39083,3.22599,4.61682
103,1,0,1.8849,1.8849
103,2,0,3.20745,3.20745
103,3,0,2.74724,2.74724
104,0,1.05891,3.3363,4.39521
104,1,0,2.5788,2.5788
104,2,0,2.20766,2.20766
104,3,0,2.39276,2.39276
105,0,1.11734,3.83604,4.95339
105,1,0,2.16338,2.16338
105,2,0,2.06636,2.06636
105,3,0,2.18125,2.18125
106,0,0.909323,3.7076,4.61693
106,1,0,2.29047,2.29047
106,2,0,2.34453,2.34453
106,3,0,2.0199,2.0199
107,0,0.837708,3.68328,4.52099
