frame,decode_ms,render_ms,total_ms
630,4.42234,3.70943,8.13177
631,1.84844,3.8025,5.65094
632,4.56641,3.76146,8.32786
633,2.10583,3.60214,5.70797
634,4.28526,2.60344,6.8887
635,2.70755,3.84198,6.54953
636,4.35568,2.58073,6.93641
637,3.12719,4.03703,7.16422
638,4.49443,2.56927,7.0637
639,2.45614,3.74761,6.20375
640,4.48344,2.57214,7.05557
641,3.63047,3.78276,7.41323
642,4.40375,2.58141,6.98516
643,2.63479,4.0876,6.7224
644,4.44703,2.57844,7.02547
645,2.80583,3.80781,6.61365
646,4.2688,2.60281,6.87161
647,3.11937,3.79854,6.91792
648,4.40932,2.6026,7.01193
649,3.32432,3.90417,7.22849
650,2.33078,6.72687,9.05766
651,3.12031,2.6699,5.79021
652,4.48536,3.88104,8.36641
653,3.23125,2.81432,6.04557
654,4.37052,4.03521,8.40573
655,3.2125,2.69156,5.90406
656,4.64396,3.75031,8.39427
657,3.18896,5.50302,8.69198
658,1.86979,3.7675,5.63729
659,2.52984,4.7651,7.29495
660,4.76786,3.93969,8.70755
661,4.57318,2.58948,7.16266
662,3.09708,3.72521,6.82229
663,4.49016,2.58338,7.07354
664,3.25318,3.74583,6.99901
665,4.42844,2.69599,7.12443
666,3.10818,3.7263,6.83448
667,4.76932,2.56422,7.33354
668,3.03792,3.75797,6.79589
669,4.6013,2.60724,7.20854
670,3.47906,3.78974,7.2688
671,4.64375,2.58734,7.23109
672,2.81078,3.74016,6.55094
673,4.38849,2.58255,6.97104
674,3.06359,3.93953,7.00312
675,4.59708,2.57682,7.17391
676,2.72203,3.82193,6.54396
677,4.67026,2.58276,7.25302
678,3.54974,3.6062,7.15594
679,4.33271,2.57167,6.90437
680,2.64458,3.95969,6.60427
681,4.25781,2.56854,6.82635
682,3.24427,3.92818,7.17245
683,4.64417,2.58073,7.2249
684,2.56323,3.76839,6.33162
685,4.38943,2.59016,6.97958
686,3.50172,3.78578,7.2875
687,4.31255,2.56963,6.88219
688,3.04781,3.93802,6.98583
689,4.53958,2.57438,7.11396
690,3.01005,3.72073,6.73078
691,4.36953,2.59562,6.96516
692,3.22375,3.78453,7.00828
693,4.65672,2.64672,7.30344
694,2.72109,3.83516,6.55625
695,4.69266,2.56349,7.25615
696,2.55828,3.72464,6.28292
697,5.10771,2.66307,7.77078
698,2.47568,3.75312,6.2288
699,5.75318,3.9225,9.67568
700,3.06156,2.62406,5.68562
701,4.59094,3.71016,8.30109
702,3.08703,2.59792,5.68495
703,4.41578,3.76797,8.18375
704,3.07505,2.60432,5.67938
705,4.99833,3.84037,8.8387
706,3.00516,2.62708,5.63224
707,4.31208,3.7187,8.03078
708,3.08771,2.65677,5.74448
709,4.30979,3.76552,8.07531
710,2.94307,2.64208,5.58516
711,4.50167,3.80375,8.30542
712,2.95333,5.49151,8.44484
713,1.8975,3.70823,5.60573
714,2.96286,5.52787,8.49073
715,1.97005,3.7087,5.67875
716,2.83906,5.61974,8.4588
717,1.8512,3.7975,5.6487
718,2.51865,5.53979,8.05844
719,1.87437,3.71521,5.58958
720,3.1487,5.4501,8.5988
721,1.93073,4.97198,6.90271
722,2.30052,5.5299,7.83042
723,3.02088,3.74458,6.76547
724,2.26406,5.34193,7.60599
725,3.14099,3.79026,6.93125
726,4.80063,2.57401,7.37463
727,2.99187,3.84833,6.84021
728,4.99094,2.6787,7.66964
729,2.38943,3.73797,6.1274
730,4.43318,2.55896,6.99214
731,3.27286,3.79781,7.07068
732,4.4901,2.55823,7.04833
733,3.0975,4.02011,7.11761
734,4.93802,3.70776,8.64578
735,3.32984,2.60469,5.93453
736,4.36891,3.78052,8.14943
737,3.04318,2.60229,5.64547
738,4.31896,3.7625,8.08146
739,3.48333,2.63432,6.11766
740,4.60245,3.71583,8.31828
741,3.05854,2.5912,5.64974
742,4.23313,3.79526,8.02839
743,3.11344,2.60615,5.71958
744,4.38453,3.95026,8.33479
745,3.03844,2.62594,5.66437
746,4.50135,3.71412,8.21547
747,3.01698,2.63943,5.65641
748,4.42734,3.74479,8.17214
749,3.18219,2.60682,5.78901
750,4.70557,3.84979,8.55536
751,3.14474,2.66458,5.80932
752,4.34526,3.70104,8.0463
753,3.25573,5.57583,8.83156
754,2.90917,4.62859,7.53776
755,1.92406,5.54443,7.46849
756,3.15865,3.8099,6.96854
757,3.69729,3.15203,6.84932
758,3.00328,3.72078,6.72406
759,2.09776,5.45547,7.55323
760,3.05568,3.72203,6.77771
761,5.04443,2.63307,7.6775
762,3.09375,3.8099,6.90365
763,4.52365,2.57172,7.09536
764,3.0338,3.80802,6.84182
765,5.21438,2.56943,7.7838
766,2.57969,3.85635,6.43604
767,5.07401,3.76917,8.84318
768,3.06292,2.5951,5.65802
769,4.7637,3.73464,8.49833
770,3.23062,2.6351,5.86573
771,4.30479,3.71318,8.01797
772,3.07083,2.68531,5.75615
773,4.42974,3.7425,8.17224
774,2.89922,2.59891,5.49812
775,4.31172,3.72333,8.03505
776,3.43385,2.65026,6.08411
777,4.41927,3.74656,8.16583
778,3.31609,2.67078,5.98688
779,4.44,3.71266,8.15266
780,3.1299,2.63448,5.76438
781,4.30609,3.77401,8.0801
782,3.17787,2.61766,5.79552
783,4.33063,3.74516,8.07578
784,3.63495,2.67396,6.30891
785,4.34047,3.75099,8.09146
786,2.99406,2.59963,5.5937
787,4.40427,3.8074,8.21167
788,3.32318,5.42974,8.75292
789,1.84693,3.95807,5.805
790,2.62734,5.49318,8.12052
791,2.74661,4.87812,7.62474
792,2.4351,5.40542,7.84052
793,3.1237,3.73583,6.85953
794,4.7451,2.65937,7.40448
795,3.61375,3.85146,7.46521
796,4.48208,2.56687,7.04896
797,2.92401,3.75521,6.67922
798,4.59906,2.59537,7.19443
799,3.24448,3.64432,6.8888
800,4.43969,2.65698,7.09667
801,2.85193,3.77526,6.62719
802,4.46073,2.55115,7.01187
803,3.25583,3.74906,7.0049
804,4.84604,2.59974,7.44578
805,2.60552,3.76281,6.36833
806,4.47427,2.65224,7.12651
807,3.11479,3.7362,6.85099
808,4.3738,2.56094,6.93474
809,3.04641,3.79932,6.84573
810,5.10469,3.74161,8.8463
811,3.05469,2.66026,5.71495
812,4.73849,3.78937,8.52786
813,3.10833,2.59693,5.70526
814,4.54766,3.73776,8.28542
815,3.12484,2.66865,5.79349
816,4.39057,3.7213,8.11187
817,3.16714,2.72401,5.89115
818,4.68938,3.75583,8.44521
819,2.9649,2.61984,5.58474
820,4.34651,3.735,8.08151
