frame 88: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 2.880  submit 0.901  passA 0.351  passW 0.000  passB 27.422  gpu 27.773  total 32.865 ms
frame 89: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.548  submit 0.394  passA 0.350  passW 0.000  passB 27.299  gpu 27.649  total 29.578 ms
frame 90: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.982  submit 0.405  passA 0.355  passW 0.000  passB 27.593  gpu 27.949  total 33.637 ms
frame 91: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.816  submit 0.652  passA 0.360  passW 0.000  passB 27.809  gpu 28.169  total 30.314 ms
frame 92: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.542  submit 0.832  passA 0.351  passW 0.000  passB 27.779  gpu 28.130  total 33.051 ms
frame 93: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 2.663  submit 0.373  passA 0.355  passW 0.000  passB 27.721  gpu 28.076  total 31.652 ms
frame 94: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.586  submit 0.386  passA 0.354  passW 0.000  passB 27.665  gpu 28.020  total 31.961 ms
frame 95: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.549  submit 0.791  passA 0.357  passW 0.000  passB 27.867  gpu 28.224  total 31.223 ms
frame 96: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.604  submit 0.469  passA 0.359  passW 0.000  passB 27.847  gpu 28.207  total 31.500 ms
frame 97: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.641  submit 0.363  passA 0.356  passW 0.000  passB 27.682  gpu 28.039  total 32.740 ms
frame 98: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 2.911  submit 0.417  passA 0.361  passW 0.000  passB 28.231  gpu 28.593  total 32.129 ms
frame 99: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.551  submit 0.392  passA 0.353  passW 0.000  passB 27.879  gpu 28.233  total 34.034 ms
frame 100: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.554  submit 0.396  passA 0.354  passW 0.000  passB 27.513  gpu 27.867  total 29.824 ms
frame 101: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.817  submit 0.502  passA 0.373  passW 0.000  passB 27.351  gpu 27.724  total 32.876 ms
frame 102: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.550  submit 0.392  passA 0.344  passW 0.000  passB 27.609  gpu 27.953  total 30.896 ms
frame 103: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.596  submit 0.501  passA 0.355  passW 0.000  passB 27.609  gpu 27.964  total 32.772 ms
frame 104: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.565  submit 0.398  passA 0.353  passW 0.000  passB 27.583  gpu 27.937  total 29.998 ms
frame 105: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.552  submit 0.410  passA 1.540  passW 0.000  passB 27.963  gpu 29.503  total 34.624 ms
frame 106: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.625  submit 0.480  passA 0.353  passW 0.000  passB 27.584  gpu 27.938  total 32.650 ms
frame 107: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.550  submit 0.386  passA 0.356  passW 0.000  passB 27.607  gpu 27.963  total 29.910 ms
frame 108: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.596  submit 0.428  passA 0.349  passW 0.000  passB 27.817  gpu 28.166  total 34.200 ms
frame 109: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.615  submit 0.435  passA 0.357  passW 0.000  passB 27.836  gpu 28.194  total 30.831 ms
frame 110: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.582  submit 0.398  passA 0.356  passW 0.000  passB 27.841  gpu 28.197  total 32.154 ms
frame 111: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.645  submit 0.466  passA 0.354  passW 0.000  passB 27.468  gpu 27.822  total 31.064 ms
frame 112: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.570  submit 0.376  passA 0.358  passW 0.000  passB 27.815  gpu 28.173  total 33.921 ms
frame 113: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.573  submit 0.412  passA 0.355  passW 0.000  passB 27.607  gpu 27.962  total 29.940 ms
frame 114: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.550  submit 0.522  passA 0.355  passW 0.000  passB 27.422  gpu 27.777  total 32.963 ms
frame 115: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.549  submit 0.821  passA 0.356  passW 0.000  passB 27.645  gpu 28.001  total 30.959 ms
frame 116: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.693  submit 0.405  passA 0.372  passW 0.000  passB 27.648  gpu 28.021  total 30.807 ms
frame 117: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.558  submit 0.389  passA 1.616  passW 0.000  passB 27.547  gpu 29.163  total 33.139 ms
frame 118: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.565  submit 0.439  passA 0.353  passW 0.000  passB 27.491  gpu 27.845  total 29.884 ms
frame 119: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.550  submit 0.406  passA 0.357  passW 0.000  passB 27.548  gpu 27.905  total 33.811 ms
decode-throughput status complete (decode-only, --no-out): 120 frames, 4.043861 s, 29.675 fps, frame wall ms max 359.428 p50 31.093 p95 34.202 p99 38.221, <=4.167ms 0.0%
120 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
