scene,q,tx,ty,mean_z,disp_seed,disp_est,disocc,edge,activity,bits_intra,bits_stereo,bits_stereo_mv,bits_stereo_est,bits_stereo_rec_mv,bits_warp,bits_warp_mv,sad_intra,sad_stereo_mv,sad_warp_mv,mvx_q2,mvy_q2
hand,8,6,11,3.489,8.68,10,0.0000,0.0000,0.12,549.1,455.7,455.7,455.7,455.7,455.7,455.7,1820,26,56,-1,-1
hand,8,7,11,3.478,8.70,8,0.0000,0.0000,0.15,531.6,455.7,455.7,455.7,455.7,455.7,455.7,1410,83,63,-4,0
hand,8,8,11,3.467,8.73,8,0.0000,0.0000,0.04,461.5,455.7,455.7,455.7,455.7,455.7,455.7,180,7,17,0,0
hand,8,9,11,3.457,8.76,8,0.0000,0.0000,0.13,508.2,455.7,455.7,455.7,455.7,455.7,455.7,1229,58,66,0,0
hand,8,10,11,3.446,8.78,8,0.0000,0.0000,0.09,496.6,455.7,455.7,455.7,455.7,455.7,455.7,980,25,38,0,0
hand,8,11,11,3.435,8.81,8,0.0000,0.0000,0.08,496.6,455.7,455.7,455.7,455.7,455.7,455.7,844,30,41,0,0
hand,8,12,11,3.425,8.84,8,0.0000,0.0000,0.08,479.0,455.7,455.7,455.7,455.7,455.7,455.7,705,17,38,0,0
hand,8,13,11,3.414,8.86,8,0.0000,0.0000,0.09,482.0,455.7,455.7,455.7,455.7,455.7,455.7,714,29,36,-4,0
hand,8,14,11,3.404,8.89,8,0.0000,0.0000,0.15,531.6,518.1,455.7,455.7,464.4,455.7,455.7,755,80,81,-5,0
hand,8,15,11,3.361,8.92,8,0.0000,0.1450,4.67,3479.0,2434.5,1694.2,1694.2,1756.6,2936.4,3130.4,50424,4955,27462,-3,0
hand,8,0,12,2.724,11.08,10,0.0000,0.0000,0.13,534.5,455.7,455.7,455.7,455.7,455.7,455.7,1576,56,51,0,0
hand,8,1,12,2.718,11.11,12,0.0000,0.0000,0.10,496.6,455.7,455.7,455.7,455.7,455.7,455.7,836,21,36,-8,4
hand,8,2,12,2.711,11.13,12,0.0000,0.0000,0.07,484.9,455.7,455.7,455.7,455.7,455.7,455.7,585,24,29,1,-1
hand,8,3,12,2.704,11.16,10,0.0000,0.0000,0.01,455.7,455.7,455.7,455.7,455.7,455.7,455.7,36,0,3,16,-4
hand,8,4,12,2.698,11.19,0,0.0000,0.0000,0.00,455.7,455.7,455.7,455.7,455.7,455.7,455.7,0,0,0,0,0
hand,8,5,12,2.691,11.21,12,0.0000,0.0000,0.03,473.2,455.7,455.7,455.7,455.7,455.7,455.7,349,6,7,8,-4
hand,8,6,12,2.685,11.24,12,0.0000,0.0000,0.05,458.6,455.7,455.7,455.7,455.7,455.7,455.7,171,24,14,8,-12
hand,8,7,12,2.678,11.27,10,0.0000,0.0000,0.05,490.7,455.7,455.7,455.7,455.7,455.7,455.7,737,34,9,0,0
