arm,run,scenario,phase,id,detail_mode,bytes,wire_bytes,encode_ms,raw_fnv
global,2,opposing_source_motion,measured,115,independent,105178,107853,7.56240,7edb23c91470d08d
global,2,opposing_source_motion,measured,116,global-v1,87688,90363,7.65179,f434cf8f782297eb
global,2,opposing_source_motion,measured,117,independent,106302,108977,7.60431,ee71fb6411e8bcba
global,2,opposing_source_motion,measured,118,independent,106906,109581,7.96114,1b566ab8e9a740ef
global,2,opposing_source_motion,measured,119,independent,106966,109641,7.67245,b1a6f8333481ad4a
global,2,opposing_source_motion,measured,120,independent,107509,110184,6.47802,9e4fb7c218b22221
global,2,opposing_source_motion,measured,121,independent,107707,110382,7.63251,e262794690d637f7
global,2,opposing_source_motion,measured,122,independent,107785,110460,7.61588,44899969c1ba8c85
global,2,opposing_source_motion,measured,123,independent,107929,110604,7.88778,9a63ad4415d75d91
global,2,opposing_source_motion,measured,124,independent,107450,110125,7.48532,331e6f37fd61a64e
global,2,opposing_source_motion,measured,125,independent,107890,110565,7.59857,0b7257ed2bf0a600
global,2,opposing_source_motion,measured,126,independent,107981,110656,7.79384,8d3c248a31384b0b
global,2,opposing_source_motion,measured,127,independent,108314,110989,7.75311,e1237500ecff0a97
global,2,opposing_source_motion,measured,128,independent,108037,110712,6.53977,6f8bf78fa41def42
global,2,opposing_source_motion,measured,129,global-v1,97161,99836,8.20002,4c97bb1969c64238
global,2,continuous_pan_source,measured,106,global-v1,66121,68796,7.30725,cb4936b83fc54820
global,2,continuous_pan_source,measured,107,global-v1,66107,68782,7.50763,bbdf2f71a384be64
global,2,continuous_pan_source,measured,108,global-v1,66344,69019,7.37389,b518c6fec7367c52
global,2,continuous_pan_source,measured,109,global-v1,66157,68832,8.15521,ed0cedb14d52229b
global,2,continuous_pan_source,measured,110,global-v1,66333,69008,7.32812,91631cae452a6392
global,2,continuous_pan_source,measured,111,global-v1,66602,69277,7.26497,bd77593c5cc518e1
global,2,continuous_pan_source,measured,112,independent,108088,110763,6.41122,83092df7ffed8818
