round,position,mode,elapsed_ms
115,1,baseline,0.498906
115,2,cached,0.771406
116,0,uncached,0.785573
116,1,cached,0.791927
116,2,baseline,0.500156
117,0,uncached,0.807709
117,1,cached,0.76
117,2,baseline,0.562343
118,0,cached,0.775208
118,1,uncached,0.796875
118,2,baseline,0.505
119,0,baseline,0.471094
119,1,uncached,0.788698
119,2,cached,0.770834
120,0,cached,0.766719
120,1,uncached,0.778334
120,2,baseline,0.479011
121,0,uncached,0.785364
121,1,cached,0.760468
121,2,baseline,0.497032
122,0,uncached,0.808958
122,1,baseline,0.498438
122,2,cached,0.791198
123,0,uncached,0.77349
123,1,baseline,0.497552
123,2,cached,0.76948
124,0,cached,0.799896
124,1,uncached,0.783125
124,2,baseline,0.47073
125,0,baseline,0.480886
125,1,cached,0.754479
125,2,uncached,0.785417
126,0,uncached,0.804531
126,1,baseline,0.506146
126,2,cached,0.773229
127,0,cached,0.778125
127,1,uncached,0.834791
127,2,baseline,0.499896
128,0,baseline,0.478282
128,1,cached,0.763281
128,2,uncached,0.785781
129,0,cached,0.769115
129,1,baseline,0.502084
129,2,uncached,0.791927
130,0,cached,0.773594
130,1,baseline,0.500417
130,2,uncached,0.856041
131,0,uncached,0.790364
131,1,cached,0.767188
131,2,baseline,0.499114
132,0,baseline,0.498698
132,1,uncached,0.794895
132,2,cached,0.787865
133,0,baseline,0.504219
133,1,cached,0.779896
133,2,uncached,0.807031
134,0,uncached,0.787083
134,1,cached,0.783073
134,2,baseline,0.502083
135,0,uncached,0.809479
135,1,cached,0.759323
135,2,baseline,0.478646
136,0,baseline,0.477969
136,1,uncached,0.775781
136,2,cached,0.789479
137,0,baseline,0.48401
137,1,cached,0.771563
137,2,uncached,0.789739
138,0,baseline,0.478854
138,1,cached,0.766927
138,2,uncached,0.797969
139,0,uncached,0.836927
139,1,baseline,0.502083
139,2,cached,0.768125
140,0,uncached,0.805104
140,1,baseline,0.482917
140,2,cached,0.768073
141,0,baseline,0.501667
141,1,cached,0.770365
141,2,uncached,0.785937
142,0,baseline,0.477656
142,1,cached,0.771041
142,2,uncached,0.776823
143,0,baseline,0.467395
143,1,cached,0.783906
143,2,uncached,0.799167
144,0,baseline,0.474792
144,1,uncached,0.774635
144,2,cached,0.761562
145,0,baseline,0.467031
145,1,cached,0.772604
145,2,uncached,0.810416
146,0,baseline,0.480886
146,1,uncached,0.789167
146,2,cached,0.756667
147,0,cached,0.766823
147,1,baseline,0.479635
147,2,uncached,0.809167
148,0,cached,0.775677
148,1,uncached,0.786927
148,2,baseline,0.480365
149,0,baseline,0.541302
149,1,uncached,0.793177
149,2,cached,0.757553
150,0,baseline,0.488646
150,1,cached,0.761562
150,2,uncached,0.790625
151,0,uncached,0.791667
151,1,baseline,0.481406
151,2,cached,0.772395
152,0,cached,0.811875
152,1,uncached,0.786719
152,2,baseline,0.482761
153,0,cached,0.76724
153,1,uncached,0.786718
153,2,baseline,0.497812
154,0,baseline,0.465365
154,1,uncached,0.787864
154,2,cached,0.792916
155,0,cached,0.766927
155,1,baseline,0.478437
155,2,uncached,0.785573
156,0,baseline,0.478073
156,1,uncached,0.825052
156,2,cached,0.766719
157,0,uncached,0.785625
157,1,baseline,0.482344
157,2,cached,0.767031
158,0,uncached,0.789427
158,1,baseline,0.489636
158,2,cached,0.77
159,0,uncached,0.808177
159,1,cached,0.777604
159,2,baseline,0.478073
160,0,cached,0.758906
160,1,baseline,0.481197
160,2,uncached,0.844427
161,0,uncached,0.805677
161,1,cached,0.767031
161,2,baseline,0.499167
162,0,uncached,0.787656
162,1,cached,0.770885
162,2,baseline,0.477344
163,0,cached,0.776771
163,1,uncached,0.809063
163,2,baseline,0.480573
164,0,baseline,0.465573
164,1,uncached,0.810157
164,2,cached,0.789636
165,0,baseline,0.504948
165,1,cached,0.771354
165,2,uncached,0.78552
166,0,cached,0.773646
166,1,uncached,0.803854
166,2,baseline,0.496562
167,0,uncached,0.805261
167,1,baseline,0.499063
167,2,cached,0.787552
168,0,baseline,0.466406
168,1,cached,0.772343
168,2,uncached,0.774635
169,0,uncached,0.796406
169,1,baseline,0.499636
169,2,cached,0.788437
170,0,uncached,0.774792
170,1,baseline,0.522292
170,2,cached,0.791875
171,0,cached,0.775573
171,1,baseline,0.47901
171,2,uncached,0.785833
172,0,cached,0.769583
172,1,uncached,0.796146
172,2,baseline,0.480156
173,0,cached,0.776146
173,1,uncached,0.834375
173,2,baseline,0.473282
174,0,baseline,0.477813
174,1,cached,0.765312
174,2,uncached,0.810937
175,0,uncached,0.806094
175,1,baseline,0.497761
175,2,cached,0.7875
