round,position,mode,elapsed_ms
157,1,baseline,0.477865
157,2,cached,0.509636
158,0,uncached,0.530573
158,1,baseline,0.465834
158,2,cached,0.495209
159,0,uncached,0.528854
159,1,cached,0.530834
159,2,baseline,0.470261
160,0,cached,0.527344
160,1,baseline,0.509896
160,2,uncached,0.516615
161,0,uncached,0.527343
161,1,cached,0.511979
161,2,baseline,0.468282
162,0,uncached,0.528437
162,1,cached,0.511614
162,2,baseline,0.484375
163,0,cached,0.499791
163,1,uncached,0.526771
163,2,baseline,0.473906
164,0,baseline,0.498229
164,1,uncached,0.632761
164,2,cached,0.531667
165,0,baseline,0.498229
165,1,cached,0.52526
165,2,uncached,0.596458
166,0,cached,0.5425
166,1,uncached,0.540364
166,2,baseline,0.498281
167,0,uncached,0.528594
167,1,baseline,0.479323
167,2,cached,0.513906
168,0,baseline,0.481718
168,1,cached,0.499896
168,2,uncached,0.533125
169,0,uncached,0.514323
169,1,baseline,0.47849
169,2,cached,0.495313
170,0,uncached,0.519323
170,1,baseline,0.499791
170,2,cached,0.517448
171,0,cached,0.543906
171,1,baseline,0.494323
171,2,uncached,0.528281
172,0,cached,0.510938
172,1,uncached,0.525156
172,2,baseline,0.466719
173,0,cached,0.499947
173,1,uncached,0.531146
173,2,baseline,0.479427
174,0,baseline,0.514167
174,1,cached,0.496042
174,2,uncached,0.525937
175,0,uncached,0.529687
175,1,baseline,0.467709
175,2,cached,0.506927
