frame 45: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.332  submit 1.173  passA 1.899  passW 0.000  passB 5.573  gpu 7.472  total 9.994 ms
frame 46: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.369  submit 0.380  passA 3.486  passW 0.000  passB 5.565  gpu 9.051  total 10.015 ms
frame 47: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.363  submit 0.479  passA 3.507  passW 0.000  passB 6.862  gpu 10.369  total 11.300 ms
frame 48: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.332  submit 0.409  passA 3.443  passW 0.000  passB 5.666  gpu 9.110  total 10.491 ms
frame 49: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.439  submit 0.678  passA 3.464  passW 0.000  passB 6.715  gpu 10.179  total 12.492 ms
frame 50: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.386  submit 0.361  passA 1.772  passW 0.000  passB 7.175  gpu 8.947  total 11.597 ms
frame 51: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.768  submit 0.437  passA 1.711  passW 0.000  passB 6.766  gpu 8.477  total 11.190 ms
frame 52: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.865  submit 0.455  passA 1.912  passW 0.000  passB 8.829  gpu 10.742  total 13.440 ms
frame 53: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.316  submit 0.341  passA 1.877  passW 0.000  passB 8.307  gpu 10.185  total 11.215 ms
frame 54: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.403  submit 0.400  passA 2.975  passW 0.000  passB 7.301  gpu 10.277  total 11.938 ms
frame 55: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.392  submit 0.568  passA 3.040  passW 0.000  passB 7.417  gpu 10.457  total 12.207 ms
frame 56: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.879  submit 0.463  passA 1.803  passW 0.000  passB 7.166  gpu 8.969  total 11.015 ms
frame 57: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.350  submit 0.353  passA 3.056  passW 0.000  passB 6.005  gpu 9.061  total 11.335 ms
frame 58: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.363  submit 0.488  passA 5.477  passW 0.000  passB 8.171  gpu 13.648  total 16.218 ms
frame 59: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.384  submit 0.590  passA 1.889  passW 0.000  passB 9.681  gpu 11.570  total 15.111 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.285271 s, 46.683 fps, frame wall ms max 673.882 p50 10.060 p95 15.112 p99 673.882, <=4.167ms 0.0%
60 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
