scenario,variant,id,mode,detail_bytes,wire_bytes,encode_ms,raw_fnv64
photo_scene_cut,baseline,127,global-v1,111873,114548,8.29076,fbbd5d4d229fbbb2
photo_scene_cut,baseline,128,independent,132442,135117,7.14961,8f171ea4316d0d31
photo_scene_cut,baseline,129,global-v1,111232,113907,9.09522,b3ca5aabafca62c3
photo_scene_cut,regions,106,independent,137549,140224,8.5226,9907604201420eb8
photo_scene_cut,regions,107,regional-v2,98538,101213,7.79762,bb2841026995dce4
photo_scene_cut,regions,108,global-v1,66728,69403,7.94153,4b25f0c55c95baf5
photo_scene_cut,regions,109,regional-v2,79707,82382,8.4975,501e12b5db1beccb
photo_scene_cut,regions,110,regional-v2,104495,107170,7.99373,510ef6d472eb75e6
photo_scene_cut,regions,111,regional-v2,97999,100674,7.95735,3638496c1e09f35c
photo_scene_cut,regions,112,independent,135630,138305,6.65335,998ad3ac0acfe1e3
photo_scene_cut,regions,113,regional-v2,78716,81391,8.00011,a166e15f4f15cd60
photo_scene_cut,regions,114,regional-v2,103862,106537,8.69946,76c532524c302baa
photo_scene_cut,regions,115,regional-v2,102049,104724,8.28077,cfdf2aa11e21078a
photo_scene_cut,regions,116,global-v1,65945,68620,7.71992,6ee2fcad6eca2c8b
photo_scene_cut,regions,117,regional-v2,78323,80998,7.9972,2fea8c576d326550
photo_scene_cut,regions,118,regional-v2,91320,93995,8.89124,03c24d36355ce265
photo_scene_cut,regions,119,regional-v2,90986,93661,8.1835,30a4b62803c6770b
photo_scene_cut,regions,120,independent,133774,136449,7.24114,d9b0d4392f82b3fe
photo_scene_cut,regions,121,regional-v2,87422,90097,9.06778,cb3d3fbec0e02244
photo_scene_cut,regions,122,regional-v2,100583,103258,8.34316,546a6806559d0905
photo_scene_cut,regions,123,regional-v2,90648,93323,7.9656,4c3d57cfb87b8dd7
photo_scene_cut,regions,124,regional-v2,87156,89831,7.92838,4568d429357d1fd9
photo_scene_cut,regions,125,regional-v2,88452,91127,8.12437,1a64ced8f4164ff1
photo_scene_cut,regions,126,regional-v2,91623,94298,7.79775,6ae4d3344ed2bb22
photo_scene_cut,regions,127,regional-v2,102497,105172,8.77361,fbbd5d4d229fbbb2
photo_scene_cut,regions,128,independent,132442,135117,6.58698,8f171ea4316d0d31
photo_scene_cut,regions,129,regional-v2,87431,90106,7.98315,b3ca5aabafca62c3
