09-07 18:16:43.354 17110 26063 I WiVRn   : [2026-09-07 18:16:43.354] [WiVRn] [info] nxwarp[0] stage: gap 6.7 | wait-prev 0.0 | submit 0.4 (qlock 0.0 + codec 0.4) | get_free 0.0 | fence-pre 0.0 | record 0.1 | qsubmit 0.0 | fence-post 13.8 | publish 0.0 ms; withheld 2, stride 1, arrival 11.4 ms
09-07 18:16:43.354 17110 26063 I WiVRn   : [2026-09-07 18:16:43.354] [WiVRn] [info] nxwarp[0] reassembly (network thread): 0.05 ms/frame over 96 frames, buffer 24 kB held for 24 kB of unit (1.0x)
09-07 18:16:43.354 17110 26063 I WiVRn   : [2026-09-07 18:16:43.354] [WiVRn] [info] nxwarp[0] fence-post 13.9 ms = nxvc gpu 13.0 + copy gpu 0.60 + queue 0.3 (over 95 frames with timestamps)
09-07 18:16:44.438 17110 26060 I WiVRn   : [2026-09-07 18:16:44.438] [WiVRn] [info] nxwarp[0] net: 149 frames closed in 2.0 s, 0 with a hole, 0 out-of-order datagrams, 0 frames completed late, 0 queued for the worker, 193 decoded so far, 437 stragglers dropped; last hole 0/0 chunks, first missing -1, short false, chunk 1166 B
09-07 18:16:44.438 17110 26060 I WiVRn   : [2026-09-07 18:16:44.438] [WiVRn] [info] nxwarp[0] net: 0.094 ms per datagram over 3479 datagrams (162.65 ms of every second)
09-07 18:16:44.438 17110 26060 I WiVRn   : [2026-09-07 18:16:44.438] [WiVRn] [info] nxwarp[0] sel: stride 1, arrival 11.7 ms, dropped-late 98, withheld 2, decoded 193
09-07 18:16:44.438 17110 26060 I WiVRn   : [2026-09-07 18:16:44.438] [WiVRn] [info] nxwarp[0] rx: 9815 datagrams, placed 169354 (+86122), late 547 (+0), stale_frame 0, bad_range 0, bad_dir 0, bad_caps 0, bad_ver 0, auth_fail 0, replay 0, frozen 0, dup 0
09-07 18:16:45.361 17110 26063 I WiVRn   : [2026-09-07 18:16:45.361] [WiVRn] [info] nxwarp[0]: 181 frames in 2.0 s: 9190 B/frame, wait-prev 0.0 ms, wall 10.6 ms, nxvc passA 1.9 passB 7.2 gpu 9.1 ms; holes 0, refused 0
09-07 18:16:45.361 17110 26063 I WiVRn   : [2026-09-07 18:16:45.361] [WiVRn] [info] nxwarp[0] gpu duty 820 ms/s (82% of one GPU) for decode alone; the display pass is extra
09-07 18:16:45.361 17110 26063 I WiVRn   : [2026-09-07 18:16:45.361] [WiVRn] [info] nxwarp[0] passB 7.2 ms = warp 0.0 + skip 0.0 + coded 0.0 + dir 0.0 + other 7.2; tiles skip 0 / coded 578 / dir 0 (eye pass 0)
