seconds,budget_mbps,equivalent_capacity_mbps,lost_frames,queue_ms
33.600,1000.000000,1000,129,11.1200
33.700,1000.000000,1000,129,11.1203
33.800,1000.000000,1000,129,11.1205
33.900,1000.000000,1000,129,11.1207
34.000,1000.000000,1000,129,11.1209
34.100,1000.000000,1000,129,11.1212
34.200,1000.000000,1000,129,11.1214
34.300,1000.000000,1000,129,11.1216
34.400,1000.000000,1000,129,11.1218
34.500,1000.000000,1000,129,11.1221
34.600,1000.000000,1000,129,11.1223
34.700,1000.000000,1000,129,11.1225
34.800,1000.000000,1000,129,11.1227
34.900,1000.000000,1000,129,11.1230
35.000,1000.000000,550,130,9.1128
35.100,1000.000000,550,134,20.2021
35.200,1000.000000,550,139,9.0910
35.300,699.998425,550,142,20.2021
35.400,699.998425,550,145,9.0910
35.500,699.998425,550,147,14.1414
35.600,699.998425,550,149,17.1718
35.700,699.998425,550,151,20.2021
35.800,384.998425,550,153,10.5052
35.900,384.998425,550,153,7.7778
36.000,384.998425,550,153,7.7778
36.100,384.998425,550,153,7.7778
36.200,384.998425,550,153,7.7778
36.300,384.998425,550,153,7.7778
36.400,604.995507,550,153,21.1104
36.500,604.995507,550,154,18.8883
36.600,604.995507,550,155,16.6662
36.700,604.995507,550,156,14.4442
36.800,604.995507,550,157,12.2221
36.900,384.999789,550,157,7.7778
37.000,384.999789,550,157,7.7778
37.100,384.999789,550,157,7.7778
37.200,384.999789,550,157,7.7778
37.300,384.999789,550,157,7.7778
37.400,604.997659,550,157,16.6665
37.500,604.997659,550,158,14.4444
37.600,604.997659,550,159,12.2222
37.700,604.997659,550,159,22.2220
37.800,604.997659,550,160,19.9998
37.900,384.999332,550,161,7.7778
38.000,384.999332,550,161,7.7778
38.100,384.999332,550,161,7.7778
38.200,384.999332,550,161,7.7778
38.300,384.999332,550,161,7.7778
38.400,604.996950,550,161,12.2222
38.500,604.996950,550,161,22.2220
38.600,604.996950,550,162,19.9998
38.700,604.996950,550,163,17.7776
38.800,604.996950,550,164,15.5555
38.900,604.996950,550,165,13.3333
39.000,384.998881,550,165,7.7778
39.100,384.998881,550,165,7.7778
39.200,384.998881,550,165,7.7778
39.300,384.998881,550,165,7.7778
39.400,384.998881,550,165,7.7778
39.500,604.996242,550,165,17.7776
39.600,604.996242,550,166,15.5555
39.700,604.996242,550,167,13.3333
39.800,604.996242,550,168,11.1109
39.900,604.996242,550,168,21.1109
40.000,384.998430,550,169,7.7778
40.100,384.998430,550,169,7.7778
40.200,384.998430,550,169,7.7778
40.300,384.998430,550,169,7.7778
40.400,384.998430,550,169,7.7778
40.500,604.995533,550,169,13.3332
40.600,604.995533,550,170,11.1103
40.700,604.995533,550,170,21.1104
40.800,604.995533,550,171,18.8883
40.900,604.995533,550,172,16.6662
41.000,604.995533,550,173,14.4442
41.100,384.999806,550,173,7.7778
41.200,384.999806,550,173,7.7778
41.300,384.999806,550,173,7.7778
41.400,384.999806,550,173,7.7778
41.500,384.999806,550,173,7.7778
41.600,604.997686,550,173,18.8887
41.700,604.997686,550,174,16.6665
41.800,604.997686,550,175,14.4444
41.900,604.997686,550,176,12.2222
42.000,604.997686,550,176,22.2220
42.100,384.999349,550,177,7.7778
42.200,384.999349,550,177,7.7778
42.300,384.999349,550,177,7.7778
42.400,384.999349,550,177,7.7778
42.500,384.999349,550,177,7.7778
42.600,604.996977,550,177,14.4444
42.700,604.996977,550,178,12.2222
42.800,604.996977,550,178,22.2220
42.900,604.996977,550,179,19.9998
43.000,604.996977,550,180,17.7776
43.100,384.998898,550,181,11.1111
43.200,384.998898,550,181,7.7778
43.300,384.998898,550,181,7.7778
43.400,384.998898,550,181,7.7778
43.500,384.998898,550,181,7.7778
43.600,384.998898,550,181,7.7778
43.700,604.996268,550,181,19.9998
43.800,604.996268,550,182,17.7776
43.900,604.996268,550,183,15.5555
44.000,604.996268,550,184,13.3333
44.100,604.996268,550,185,11.1109
44.200,384.998447,550,185,7.7778
44.300,384.998447,550,185,7.7778
44.400,384.998447,550,185,7.7778
44.500,384.998447,550,185,7.7778
44.600,384.998447,550,185,7.7778
44.700,604.995560,550,185,15.5552
44.800,604.995560,550,186,13.3332
44.900,604.995560,550,187,11.1103
45.000,604.995560,550,187,21.1104
45.100,604.995560,550,188,18.8883
45.200,384.999823,550,189,7.7778
45.300,384.999823,550,189,7.7778
45.400,384.999823,550,189,7.7778
45.500,384.999823,550,189,7.7778
45.600,384.999823,550,189,7.7778
45.700,384.999823,550,189,7.7778
45.800,604.997713,550,189,21.1109
45.900,604.997713,550,190,18.8887
46.000,604.997713,550,191,16.6665
46.100,604.997713,550,192,14.4444
46.200,604.997713,550,193,12.2222
46.300,384.999366,550,193,7.7778
46.400,384.999366,550,193,7.7778
46.500,384.999366,550,193,7.7778
46.600,384.999366,550,193,7.7778
46.700,384.999366,550,193,7.7778
46.800,604.997004,550,193,16.6665
46.900,604.997004,550,194,14.4444
47.000,604.997004,550,195,12.2222
47.100,604.997004,550,195,22.2220
47.200,604.997004,550,196,19.9998
47.300,384.998915,550,197,7.7778
47.400,384.998915,550,197,7.7778
47.500,384.998915,550,197,7.7778
47.600,384.998915,550,197,7.7778
47.700,384.998915,550,197,7.7778
47.800,604.996295,550,197,12.2222
47.900,604.996295,550,197,22.2220
48.000,604.996295,550,198,19.9998
48.100,604.996295,550,199,17.7776
48.200,604.996295,550,200,15.5555
48.300,604.996295,550,201,13.3333
48.400,384.998464,550,201,7.7778
48.500,384.998464,550,201,7.7778
48.600,384.998464,550,201,7.7778
48.700,384.998464,550,201,7.7778
48.800,384.998464,550,201,7.7778
48.900,604.995586,550,201,17.7773
49.000,604.995586,550,202,15.5552
49.100,604.995586,550,203,13.3332
49.200,604.995586,550,204,11.1103
49.300,604.995586,550,204,21.1104
49.400,384.999840,550,205,7.7778
49.500,384.999840,550,205,7.7778
49.600,384.999840,550,205,7.7778
49.700,384.999840,550,205,7.7778
49.800,384.999840,550,205,7.7778
49.900,604.997740,550,205,13.3333
50.000,604.997740,550,206,11.1109
50.100,604.997740,550,206,21.1109
50.200,604.997740,550,207,18.8887
50.300,604.997740,550,208,16.6665
50.400,604.997740,550,209,14.4444
50.500,384.999383,550,209,7.7778
