frame 47: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.651  submit 0.496  passA 3.534  passW 0.000  passB 4.555  gpu 8.090  total 9.380 ms
frame 48: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.535  submit 0.474  passA 1.716  passW 0.000  passB 6.291  gpu 8.007  total 11.138 ms
frame 49: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.537  submit 0.497  passA 1.868  passW 0.000  passB 7.110  gpu 8.978  total 11.376 ms
frame 50: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.540  submit 0.429  passA 1.763  passW 0.000  passB 5.423  gpu 7.187  total 9.598 ms
frame 51: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.459  submit 0.620  passA 3.556  passW 0.000  passB 4.490  gpu 8.046  total 9.115 ms
frame 52: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.462  submit 0.418  passA 1.863  passW 0.000  passB 6.337  gpu 8.201  total 11.494 ms
frame 53: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.534  submit 0.476  passA 2.629  passW 0.000  passB 6.329  gpu 8.958  total 11.317 ms
frame 54: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.537  submit 0.473  passA 1.744  passW 0.000  passB 5.317  gpu 7.061  total 9.392 ms
frame 55: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.540  submit 0.482  passA 1.867  passW 0.000  passB 5.365  gpu 7.232  total 12.762 ms
frame 56: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.589  submit 0.521  passA 3.619  passW 0.000  passB 4.565  gpu 8.185  total 9.433 ms
frame 57: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.509  submit 0.530  passA 1.729  passW 0.000  passB 6.247  gpu 7.976  total 11.042 ms
frame 58: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.513  submit 0.453  passA 1.884  passW 0.000  passB 7.094  gpu 8.979  total 11.406 ms
frame 59: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.553  submit 0.500  passA 1.780  passW 0.000  passB 5.453  gpu 7.233  total 9.657 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.442994 s, 41.580 fps, frame wall ms max 789.695 p50 11.140 p95 14.711 p99 789.695, <=4.167ms 0.0%
60 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
