frame 49: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.544  submit 0.534  passA 1.784  passW 0.000  passB 5.295  gpu 7.080  total 9.515 ms
frame 50: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.568  submit 0.624  passA 3.532  passW 0.000  passB 4.529  gpu 8.062  total 9.425 ms
frame 51: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.595  submit 0.520  passA 1.752  passW 0.000  passB 6.347  gpu 8.099  total 11.286 ms
frame 52: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.543  submit 0.600  passA 1.864  passW 0.000  passB 7.021  gpu 8.885  total 11.180 ms
frame 53: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.516  submit 0.473  passA 1.846  passW 0.000  passB 5.330  gpu 7.176  total 9.689 ms
frame 54: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.684  submit 0.898  passA 1.703  passW 0.000  passB 5.364  gpu 7.067  total 13.088 ms
frame 55: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.766  submit 0.868  passA 3.688  passW 0.000  passB 4.498  gpu 8.186  total 9.980 ms
frame 56: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.558  submit 0.528  passA 1.797  passW 0.000  passB 6.241  gpu 8.038  total 11.083 ms
frame 57: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.537  submit 0.560  passA 2.559  passW 0.000  passB 6.260  gpu 8.819  total 11.297 ms
frame 58: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.851  submit 0.628  passA 1.827  passW 0.000  passB 5.289  gpu 7.116  total 9.677 ms
frame 59: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.615  submit 0.759  passA 1.826  passW 0.000  passB 5.365  gpu 7.191  total 12.626 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.448006 s, 41.436 fps, frame wall ms max 795.678 p50 11.146 p95 15.661 p99 795.678, <=4.167ms 0.0%
60 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
