case,regions,run,variant,phase,frame,mode,body_version,wire_bytes,detail_bytes,encode_ms,raw_fnv64,oracle_match
forest-pan,global,3,baseline,measure-19,measure,global,2,84055,81380,7.77805,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-20,measure,global,2,84055,81380,7.65383,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-21,measure,global,2,84055,81380,7.71338,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-22,measure,global,2,84055,81380,7.89142,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-23,measure,global,2,84055,81380,7.70400,8030ea57249b6c82,1
forest-pan,global,3,baseline,measure-24,measure,global,2,84055,81380,8.04291,8030ea57249b6c82,1
forest-pan,regional,0,baseline,control,anchor,independent,2,101724,99049,7.95824,743740e50850356b,1
forest-pan,regional,0,baseline,control,no-ack,independent,2,102116,99441,6.95970,8030ea57249b6c82,1
forest-pan,regional,0,baseline,control,ack-pair,global,2,84055,81380,8.48357,8030ea57249b6c82,1
forest-pan,regional,0,baseline,control,forgot-ref,independent,2,102116,99441,7.14011,8030ea57249b6c82,1
forest-pan,regional,0,baseline,control,anchor-id8,independent,2,102116,99441,7.18891,8030ea57249b6c82,1
forest-pan,regional,0,baseline,control,post-reset,independent,2,102116,99441,6.57429,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-01,measure,global,2,84055,81380,8.51867,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-02,measure,global,2,84055,81380,9.10812,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-03,measure,global,2,84055,81380,8.51358,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-04,measure,global,2,84055,81380,8.83944,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-05,measure,global,2,84055,81380,8.66711,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-06,measure,global,2,84055,81380,8.63028,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-07,measure,global,2,84055,81380,9.95126,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-08,measure,global,2,84055,81380,8.80593,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-09,measure,global,2,84055,81380,9.12831,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-10,measure,global,2,84055,81380,11.08044,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-11,measure,global,2,84055,81380,9.17383,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-12,measure,global,2,84055,81380,8.28353,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-13,measure,global,2,84055,81380,8.57740,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-14,measure,global,2,84055,81380,8.25023,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-15,measure,global,2,84055,81380,8.28263,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-16,measure,global,2,84055,81380,8.12270,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-17,measure,global,2,84055,81380,8.47608,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-18,measure,global,2,84055,81380,8.51804,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-19,measure,global,2,84055,81380,8.44181,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-20,measure,global,2,84055,81380,8.23014,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-21,measure,global,2,84055,81380,8.23268,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-22,measure,global,2,84055,81380,8.25197,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-23,measure,global,2,84055,81380,8.44386,8030ea57249b6c82,1
forest-pan,regional,0,baseline,measure-24,measure,global,2,84055,81380,8.50914,8030ea57249b6c82,1
forest-pan,regional,1,candidate,control,anchor,row-v3,3,91303,88628,9.55465,743740e50850356b,1
forest-pan,regional,1,candidate,control,no-ack,row-v3,3,91221,88546,10.45537,8030ea57249b6c82,1
forest-pan,regional,1,candidate,control,ack-pair,global,3,77713,75038,12.82491,8030ea57249b6c82,1
forest-pan,regional,1,candidate,control,forgot-ref,row-v3,3,91221,88546,10.18214,8030ea57249b6c82,1
forest-pan,regional,1,candidate,control,anchor-id8,row-v3,3,91221,88546,10.51733,8030ea57249b6c82,1
forest-pan,regional,1,candidate,control,post-reset,row-v3,3,91221,88546,9.54955,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-01,measure,global,3,77713,75038,9.34037,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-02,measure,global,3,77713,75038,9.29284,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-03,measure,global,3,77713,75038,9.45986,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-04,measure,global,3,77713,75038,9.38055,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-05,measure,global,3,77713,75038,9.60229,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-06,measure,global,3,77713,75038,9.75552,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-07,measure,global,3,77713,75038,9.57453,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-08,measure,global,3,77713,75038,9.65896,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-09,measure,global,3,77713,75038,9.33953,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-10,measure,global,3,77713,75038,9.64540,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-11,measure,global,3,77713,75038,9.19787,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-12,measure,global,3,77713,75038,11.06482,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-13,measure,global,3,77713,75038,9.94495,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-14,measure,global,3,77713,75038,9.82076,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-15,measure,global,3,77713,75038,10.28143,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-16,measure,global,3,77713,75038,9.63966,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-17,measure,global,3,77713,75038,9.97017,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-18,measure,global,3,77713,75038,10.04169,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-19,measure,global,3,77713,75038,9.68779,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-20,measure,global,3,77713,75038,9.65341,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-21,measure,global,3,77713,75038,9.63246,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-22,measure,global,3,77713,75038,9.70587,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-23,measure,global,3,77713,75038,9.45833,8030ea57249b6c82,1
forest-pan,regional,1,candidate,measure-24,measure,global,3,77713,75038,9.42528,8030ea57249b6c82,1
forest-pan,regional,2,candidate,control,anchor,row-v3,3,91303,88628,9.10835,743740e50850356b,1
forest-pan,regional,2,candidate,control,no-ack,row-v3,3,91221,88546,8.52265,8030ea57249b6c82,1
forest-pan,regional,2,candidate,control,ack-pair,global,3,77713,75038,9.47889,8030ea57249b6c82,1
forest-pan,regional,2,candidate,control,forgot-ref,row-v3,3,91221,88546,8.32038,8030ea57249b6c82,1
forest-pan,regional,2,candidate,control,anchor-id8,row-v3,3,91221,88546,9.63774,8030ea57249b6c82,1
forest-pan,regional,2,candidate,control,post-reset,row-v3,3,91221,88546,8.14321,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-01,measure,global,3,77713,75038,9.82140,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-02,measure,global,3,77713,75038,9.91664,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-03,measure,global,3,77713,75038,9.92318,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-04,measure,global,3,77713,75038,10.04329,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-05,measure,global,3,77713,75038,9.38635,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-06,measure,global,3,77713,75038,9.02363,8030ea57249b6c82,1
forest-pan,regional,2,candidate,measure-07,measure,global,3,77713,75038,9.43620,8030ea57249b6c82,1
