frame 62: 57541 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.318  submit 0.975  passA 10.737  passW 0.295  passB 104.058  gpu 114.797  total 119.098 ms
frame 63: 57665 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.310  submit 0.657  passA 8.688  passW 0.282  passB 105.084  gpu 113.772  total 120.066 ms
frame 64: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.294  submit 1.458  passA 10.855  passW 0.285  passB 103.514  gpu 114.371  total 116.300 ms
frame 65: 57688 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.290  submit 0.622  passA 8.722  passW 0.316  passB 105.538  gpu 114.260  total 120.253 ms
frame 66: 57495 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.330  submit 0.734  passA 10.947  passW 0.282  passB 104.410  gpu 115.357  total 117.365 ms
frame 67: 57807 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.495  submit 1.022  passA 8.756  passW 0.288  passB 105.301  gpu 114.057  total 120.089 ms
frame 68: 57399 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.298  submit 0.676  passA 10.022  passW 0.278  passB 106.772  gpu 116.796  total 121.551 ms
frame 69: 57793 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.290  submit 0.811  passA 10.799  passW 0.285  passB 104.261  gpu 115.060  total 117.104 ms
frame 70: 57550 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.305  submit 0.680  passA 8.690  passW 0.278  passB 106.134  gpu 114.825  total 120.704 ms
frame 71: 57784 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.306  submit 0.840  passA 10.812  passW 0.282  passB 103.759  gpu 114.572  total 116.616 ms
frame 72: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.194  submit 0.535  passA 0.375  passW 0.007  passB 0.221  gpu 0.597  total 6.731 ms
frame 73: 56304 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.240  submit 0.664  passA 10.698  passW 0.281  passB 103.421  gpu 114.119  total 115.213 ms
frame 74: 56771 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.244  submit 0.691  passA 9.867  passW 0.276  passB 106.681  gpu 116.549  total 119.450 ms
frame 75: 56588 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.235  submit 2.639  passA 10.874  passW 0.279  passB 104.240  gpu 115.115  total 119.062 ms
frame 76: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.259  submit 2.843  passA 8.683  passW 0.274  passB 105.696  gpu 114.379  total 118.851 ms
frame 77: 56492 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.230  submit 0.818  passA 9.925  passW 0.279  passB 104.277  gpu 114.202  total 118.903 ms
frame 78: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.292  submit 0.729  passA 8.706  passW 0.276  passB 105.997  gpu 114.703  total 118.693 ms
frame 79: 56382 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.281  submit 0.851  passA 9.872  passW 0.275  passB 106.912  gpu 116.785  total 121.779 ms
frame 80: 56849 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.232  submit 0.815  passA 10.694  passW 0.286  passB 103.113  gpu 113.807  total 115.711 ms
frame 81: 56487 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.223  submit 0.731  passA 10.672  passW 0.275  passB 105.823  gpu 116.495  total 121.395 ms
frame 82: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.342  submit 0.871  passA 10.701  passW 0.279  passB 104.652  gpu 115.355  total 117.752 ms
frame 83: 56446 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.552  submit 0.837  passA 7.812  passW 0.276  passB 87.032  gpu 94.844  total 99.871 ms
frame 84: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.480  submit 1.316  passA 7.933  passW 0.271  passB 87.480  gpu 95.415  total 98.199 ms
frame 85: 56510 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.446  submit 1.645  passA 7.837  passW 0.279  passB 88.643  gpu 96.481  total 98.787 ms
frame 86: 56785 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.534  submit 1.554  passA 7.870  passW 0.267  passB 85.671  gpu 93.542  total 96.237 ms
frame 87: 56565 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.634  submit 2.156  passA 7.848  passW 0.255  passB 83.281  gpu 91.129  total 94.454 ms
frame 88: 56826 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.549  submit 1.545  passA 7.842  passW 0.278  passB 83.880  gpu 91.722  total 94.374 ms
frame 89: 56423 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.681  submit 3.179  passA 7.824  passW 0.252  passB 82.987  gpu 90.812  total 95.184 ms
frame 90: 57023 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.617  submit 2.030  passA 7.865  passW 0.257  passB 82.209  gpu 90.074  total 93.200 ms
frame 91: 56391 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.663  submit 2.190  passA 7.869  passW 0.261  passB 83.594  gpu 91.464  total 94.817 ms
frame 92: 56762 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.670  submit 2.066  passA 7.810  passW 0.260  passB 83.284  gpu 91.094  total 94.296 ms
frame 93: 56652 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 1.292  submit 2.164  passA 7.808  passW 0.262  passB 82.973  gpu 90.781  total 95.031 ms
frame 94: 56739 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.662  submit 2.182  passA 7.936  passW 0.256  passB 83.041  gpu 90.977  total 94.299 ms
frame 95: 56423 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.634  submit 3.702  passA 7.812  passW 0.252  passB 82.419  gpu 90.231  total 95.055 ms
frame 96: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.453  submit 0.695  passA 0.434  passW 0.008  passB 0.308  gpu 0.742  total 2.048 ms
frame 97: 1308 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.380  submit 0.425  passA 0.396  passW 0.008  passB 0.309  gpu 0.706  total 1.656 ms
frame 98: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.698  submit 0.406  passA 0.359  passW 0.007  passB 0.229  gpu 0.588  total 1.838 ms
frame 99: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.492  submit 0.392  passA 0.357  passW 0.007  passB 0.284  gpu 0.642  total 1.673 ms
