frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.198  submit 0.595  passA 8.997  passW 0.282  passB 103.637  gpu 112.635  total 113.609 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.348  submit 0.281  passA 9.767  passW 0.254  passB 39.002  gpu 48.770  total 53.893 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.291  submit 0.736  passA 11.122  passW 0.280  passB 102.183  gpu 113.306  total 115.413 ms
frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.339  submit 0.394  passA 9.746  passW 1.666  passB 39.520  gpu 49.266  total 54.327 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.424  submit 0.906  passA 9.810  passW 0.280  passB 103.978  gpu 113.787  total 117.147 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.895  submit 0.308  passA 10.875  passW 0.259  passB 37.228  gpu 48.102  total 54.068 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.300  submit 0.662  passA 9.911  passW 0.329  passB 104.432  gpu 114.343  total 117.425 ms
frame 56: 57495 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.296  submit 0.266  passA 10.812  passW 0.251  passB 39.160  gpu 49.972  total 54.023 ms
frame 57: 57734 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.294  submit 0.692  passA 10.223  passW 0.283  passB 102.513  gpu 112.736  total 114.732 ms
frame 58: 57605 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.337  submit 0.395  passA 9.738  passW 0.252  passB 39.163  gpu 48.902  total 54.036 ms
frame 59: 57665 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.294  submit 0.718  passA 11.179  passW 0.280  passB 103.627  gpu 114.806  total 116.746 ms
frame 60: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.322  submit 0.328  passA 9.059  passW 0.252  passB 37.961  gpu 47.020  total 53.041 ms
frame 61: 57720 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.421  submit 0.735  passA 9.859  passW 0.280  passB 104.286  gpu 114.145  total 117.339 ms
frame 62: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.400  submit 0.313  passA 11.004  passW 0.250  passB 37.079  gpu 48.083  total 52.938 ms
frame 63: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.320  submit 0.979  passA 9.848  passW 1.445  passB 104.584  gpu 114.432  total 117.390 ms
frame 64: 57541 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.308  submit 0.297  passA 10.914  passW 0.264  passB 38.939  gpu 49.853  total 53.781 ms
frame 65: 57633 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.447  submit 0.943  passA 11.102  passW 0.281  passB 102.328  gpu 113.431  total 115.452 ms
frame 66: 57527 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.315  submit 0.282  passA 9.748  passW 1.403  passB 39.201  gpu 48.949  total 54.034 ms
frame 67: 57775 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.329  submit 0.730  passA 11.164  passW 0.283  passB 103.276  gpu 114.440  total 116.385 ms
frame 68: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.291  submit 0.302  passA 9.027  passW 0.262  passB 37.325  gpu 46.352  total 52.061 ms
frame 69: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.382  submit 0.869  passA 9.873  passW 0.283  passB 104.080  gpu 113.952  total 117.279 ms
frame 70: 57628 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.464  submit 0.372  passA 10.075  passW 0.255  passB 37.739  gpu 47.815  total 50.651 ms
frame 71: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.315  submit 0.657  passA 9.905  passW 0.287  passB 105.586  gpu 115.491  total 117.398 ms
