frame 63: 2804 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 1.041  submit 12.271  passA 3.948  passW 0.024  passB 100.158  gpu 104.106  total 119.309 ms
frame 64: 2916 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.458  submit 2.599  passA 0.794  passW 0.023  passB 2.607  gpu 3.401  total 7.148 ms
frame 65: 2706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.452  submit 18.618  passA 5.422  passW 0.032  passB 123.643  gpu 129.066  total 148.377 ms
frame 66: 2958 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.192  submit 0.254  passA 0.833  passW 0.021  passB 2.027  gpu 2.860  total 7.106 ms
frame 67: 2888 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.214  submit 4.185  passA 4.549  passW 0.029  passB 109.789  gpu 114.338  total 118.946 ms
frame 68: 2832 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.204  submit 0.297  passA 0.820  passW 0.020  passB 1.938  gpu 2.758  total 7.393 ms
frame 69: 2706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.212  submit 3.985  passA 4.554  passW 0.027  passB 110.286  gpu 114.842  total 119.273 ms
frame 70: 2706 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.225  submit 0.304  passA 0.754  passW 0.019  passB 1.804  gpu 2.558  total 4.725 ms
frame 71: 2874 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.175  submit 4.851  passA 4.570  passW 0.029  passB 110.012  gpu 114.583  total 120.021 ms
frame 72: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.175  submit 0.241  passA 0.363  passW 0.008  passB 0.234  gpu 0.597  total 5.068 ms
frame 73: 2090 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.166  submit 4.571  passA 3.897  passW 0.021  passB 111.724  gpu 115.621  total 120.571 ms
frame 74: 2888 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.556  submit 3.972  passA 4.566  passW 0.029  passB 111.142  gpu 115.709  total 120.338 ms
frame 75: 2944 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.186  submit 4.183  passA 4.664  passW 0.029  passB 110.942  gpu 115.606  total 120.146 ms
frame 76: 3126 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.187  submit 4.237  passA 4.005  passW 0.034  passB 113.042  gpu 117.048  total 121.770 ms
frame 77: 3140 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.189  submit 4.586  passA 3.996  passW 0.036  passB 117.384  gpu 121.382  total 126.442 ms
frame 78: 3196 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.210  submit 4.752  passA 3.985  passW 0.032  passB 124.447  gpu 128.433  total 134.340 ms
frame 79: 3196 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.262  submit 4.446  passA 5.981  passW 0.033  passB 127.709  gpu 133.690  total 138.999 ms
frame 80: 3210 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.195  submit 4.249  passA 5.963  passW 0.033  passB 129.422  gpu 135.385  total 140.020 ms
frame 81: 3350 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.223  submit 4.552  passA 4.827  passW 0.034  passB 129.597  gpu 134.425  total 140.731 ms
frame 82: 3238 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.191  submit 4.450  passA 4.837  passW 0.036  passB 128.804  gpu 133.642  total 138.705 ms
frame 83: 3126 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.249  submit 5.235  passA 4.018  passW 0.036  passB 129.443  gpu 133.462  total 140.924 ms
frame 84: 3308 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.150  submit 4.600  passA 4.016  passW 0.037  passB 130.184  gpu 134.201  total 139.140 ms
frame 85: 3210 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.223  submit 4.502  passA 5.155  passW 0.035  passB 131.831  gpu 136.987  total 142.665 ms
frame 86: 3280 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.189  submit 8.224  passA 5.925  passW 0.033  passB 128.083  gpu 134.007  total 142.678 ms
frame 87: 3140 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.243  submit 3.829  passA 5.919  passW 0.032  passB 129.405  gpu 135.324  total 140.393 ms
frame 88: 3182 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.211  submit 4.317  passA 4.791  passW 0.033  passB 128.669  gpu 133.460  total 138.633 ms
frame 89: 3154 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.241  submit 4.104  passA 4.811  passW 0.032  passB 130.299  gpu 135.111  total 141.295 ms
frame 90: 3182 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.226  submit 4.208  passA 4.004  passW 0.033  passB 130.263  gpu 134.269  total 140.002 ms
frame 91: 3308 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.532  submit 4.023  passA 4.004  passW 0.038  passB 131.055  gpu 135.061  total 140.844 ms
frame 92: 3350 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.289  submit 5.613  passA 5.166  passW 0.037  passB 130.697  gpu 135.864  total 141.920 ms
frame 93: 3210 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.198  submit 4.171  passA 6.297  passW 0.035  passB 128.058  gpu 134.356  total 138.884 ms
frame 94: 3280 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.193  submit 4.204  passA 6.307  passW 0.034  passB 129.618  gpu 135.927  total 140.473 ms
frame 95: 3196 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.188  submit 4.080  passA 5.908  passW 0.036  passB 128.699  gpu 134.609  total 139.659 ms
frame 96: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.184  submit 0.249  passA 0.431  passW 0.008  passB 0.249  gpu 0.680  total 2.568 ms
frame 97: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.159  submit 0.220  passA 0.391  passW 0.008  passB 0.238  gpu 0.629  total 1.784 ms
frame 98: 1082 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.136  submit 0.140  passA 0.353  passW 0.007  passB 0.176  gpu 0.530  total 0.922 ms
frame 99: 1082 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.131  submit 0.131  passA 1.485  passW 0.007  passB 0.195  gpu 1.680  total 2.057 ms
frame 100: 1152 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.132  submit 0.140  passA 0.389  passW 0.008  passB 0.285  gpu 0.674  total 1.090 ms
frame 101: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.167  submit 0.215  passA 0.359  passW 0.007  passB 0.978  gpu 1.337  total 1.837 ms
frame 102: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.152  submit 0.168  passA 0.392  passW 0.010  passB 0.257  gpu 0.649  total 1.092 ms
frame 103: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.140  submit 0.159  passA 0.396  passW 0.008  passB 0.242  gpu 0.639  total 1.067 ms
frame 104: 1138 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.130  submit 0.160  passA 0.408  passW 0.008  passB 0.255  gpu 0.664  total 1.031 ms
frame 105: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.130  submit 0.135  passA 0.404  passW 0.008  passB 0.255  gpu 0.660  total 1.019 ms
frame 106: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.131  submit 0.149  passA 0.357  passW 0.007  passB 0.234  gpu 0.591  total 1.008 ms
frame 107: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.129  submit 0.148  passA 0.375  passW 1.207  passB 1.440  gpu 1.815  total 2.166 ms
frame 108: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.150  submit 0.141  passA 0.357  passW 0.007  passB 0.196  gpu 0.554  total 0.964 ms
frame 109: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.132  submit 0.132  passA 1.583  passW 0.009  passB 0.258  gpu 1.840  total 2.222 ms
frame 110: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.424  submit 0.215  passA 0.387  passW 0.008  passB 0.238  gpu 0.625  total 1.378 ms
frame 111: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.174  submit 0.161  passA 0.397  passW 0.008  passB 0.245  gpu 0.642  total 3.405 ms
frame 112: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.154  submit 0.135  passA 0.354  passW 0.007  passB 0.235  gpu 0.589  total 1.002 ms
frame 113: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.132  submit 0.126  passA 0.388  passW 0.008  passB 0.253  gpu 0.642  total 1.018 ms
frame 114: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.130  submit 0.128  passA 0.389  passW 0.008  passB 0.254  gpu 0.643  total 1.024 ms
frame 115: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.131  submit 0.125  passA 1.488  passW 0.008  passB 0.202  gpu 1.691  total 2.067 ms
frame 116: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.134  submit 0.135  passA 0.359  passW 0.007  passB 0.231  gpu 0.590  total 0.977 ms
frame 117: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.132  submit 0.126  passA 1.502  passW 0.009  passB 0.255  gpu 1.757  total 2.196 ms
frame 118: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.202  submit 0.274  passA 0.397  passW 0.008  passB 0.275  gpu 0.672  total 1.283 ms
frame 119: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.190  submit 0.213  passA 0.396  passW 0.008  passB 0.256  gpu 0.652  total 1.767 ms
decode-throughput status complete (decode-only, --no-out): 120 frames, 6.537557 s, 18.355 fps, frame wall ms max 756.204 p50 3.003 p95 141.297 p99 457.495, <=4.167ms 56.7%
120 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
