frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.288  submit 0.340  passA 10.992  passW 0.249  passB 44.355  gpu 55.348  total 59.504 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.384  submit 1.037  passA 8.664  passW 1.413  passB 109.479  gpu 118.144  total 121.553 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.365  submit 0.327  passA 8.575  passW 0.255  passB 45.204  gpu 53.781  total 59.919 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.348  submit 0.676  passA 8.722  passW 0.284  passB 108.547  gpu 117.270  total 120.423 ms
frame 56: 57495 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 3.477  submit 0.436  passA 8.548  passW 0.253  passB 44.007  gpu 52.557  total 59.894 ms
frame 57: 57734 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.315  submit 0.678  passA 8.664  passW 1.420  passB 108.534  gpu 117.200  total 120.481 ms
frame 58: 57605 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.341  submit 0.352  passA 8.588  passW 0.258  passB 46.564  gpu 55.153  total 61.290 ms
frame 59: 57665 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.365  submit 1.079  passA 8.703  passW 1.433  passB 105.798  gpu 114.501  total 116.588 ms
frame 60: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.280  submit 0.249  passA 10.822  passW 0.253  passB 44.199  gpu 55.023  total 59.882 ms
frame 61: 57720 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.434  submit 1.235  passA 8.708  passW 0.278  passB 106.499  gpu 115.208  total 119.400 ms
frame 62: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.324  submit 0.316  passA 10.112  passW 1.047  passB 44.995  gpu 55.108  total 59.785 ms
frame 63: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.291  submit 0.655  passA 10.940  passW 0.278  passB 105.747  gpu 116.688  total 118.648 ms
frame 64: 57541 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.284  submit 0.274  passA 10.831  passW 0.261  passB 43.539  gpu 54.371  total 56.338 ms
frame 65: 57633 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.361  submit 0.929  passA 11.131  passW 0.283  passB 104.026  gpu 115.158  total 117.205 ms
frame 66: 57527 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.312  submit 0.291  passA 8.660  passW 0.258  passB 45.876  gpu 54.537  total 60.668 ms
frame 67: 57775 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.337  submit 0.677  passA 10.800  passW 0.291  passB 104.637  gpu 115.439  total 117.519 ms
frame 68: 57463 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.290  submit 0.302  passA 8.562  passW 0.253  passB 43.543  gpu 52.106  total 58.156 ms
frame 69: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.286  submit 0.667  passA 8.694  passW 0.276  passB 106.102  gpu 114.796  total 118.817 ms
frame 70: 57628 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.313  submit 0.298  passA 9.858  passW 0.255  passB 44.380  gpu 54.239  total 59.100 ms
frame 71: 57706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.292  submit 0.674  passA 9.941  passW 0.279  passB 107.237  gpu 117.180  total 119.254 ms
frame 72: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.204  submit 0.232  passA 1.146  passW 0.008  passB 0.296  gpu 1.442  total 5.327 ms
frame 73: 56304 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.215  submit 0.681  passA 10.160  passW 0.287  passB 107.044  gpu 117.205  total 118.261 ms
frame 74: 56771 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.237  submit 0.825  passA 10.933  passW 0.279  passB 51.062  gpu 61.995  total 66.012 ms
frame 75: 56588 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.238  submit 0.858  passA 8.606  passW 0.283  passB 53.104  gpu 61.711  total 66.111 ms
frame 76: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.297  submit 0.939  passA 9.877  passW 0.278  passB 53.381  gpu 63.258  total 65.265 ms
frame 77: 56492 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.219  submit 0.815  passA 10.899  passW 0.310  passB 53.434  gpu 64.334  total 66.390 ms
frame 78: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.327  submit 1.540  passA 10.784  passW 0.278  passB 50.509  gpu 61.293  total 65.398 ms
frame 79: 56382 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.251  submit 1.061  passA 10.673  passW 0.308  passB 51.486  gpu 62.161  total 67.858 ms
frame 80: 56849 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.269  submit 1.176  passA 8.676  passW 0.307  passB 52.424  gpu 61.101  total 65.000 ms
frame 81: 56487 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.226  submit 0.731  passA 10.857  passW 0.278  passB 52.002  gpu 62.859  total 67.614 ms
frame 82: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.246  submit 3.329  passA 9.897  passW 0.277  passB 53.174  gpu 63.073  total 66.906 ms
frame 83: 56446 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.257  submit 0.724  passA 10.632  passW 0.277  passB 53.099  gpu 63.732  total 67.637 ms
frame 84: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.248  submit 0.757  passA 8.656  passW 0.286  passB 52.552  gpu 61.209  total 63.327 ms
frame 85: 56510 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.240  submit 0.735  passA 9.928  passW 0.281  passB 53.588  gpu 63.516  total 65.491 ms
frame 86: 56785 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.241  submit 0.722  passA 9.904  passW 0.279  passB 52.822  gpu 62.727  total 67.396 ms
