frame 76: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.227  submit 0.777  passA 9.799  passW 0.327  passB 108.112  gpu 117.912  total 121.060 ms
frame 77: 56492 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.245  submit 0.772  passA 10.878  passW 0.276  passB 108.457  gpu 119.337  total 124.009 ms
frame 78: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.231  submit 0.756  passA 10.143  passW 0.287  passB 108.351  gpu 118.495  total 121.148 ms
frame 79: 56382 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.237  submit 0.973  passA 10.901  passW 0.277  passB 108.339  gpu 119.241  total 124.354 ms
frame 80: 56849 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.226  submit 0.788  passA 9.842  passW 0.282  passB 107.472  gpu 117.315  total 120.661 ms
frame 81: 56487 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.234  submit 1.183  passA 9.783  passW 0.277  passB 110.426  gpu 120.210  total 125.481 ms
frame 82: 56707 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 1.554  submit 0.827  passA 9.750  passW 0.279  passB 110.182  gpu 119.933  total 123.040 ms
frame 83: 56446 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.219  submit 0.949  passA 9.796  passW 0.272  passB 107.505  gpu 117.302  total 122.439 ms
frame 84: 57014 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.233  submit 0.766  passA 10.232  passW 0.292  passB 109.021  gpu 119.254  total 121.890 ms
frame 85: 56510 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.223  submit 0.759  passA 10.146  passW 0.276  passB 109.879  gpu 120.026  total 124.864 ms
frame 86: 56785 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.395  submit 1.040  passA 9.829  passW 0.281  passB 109.797  gpu 119.627  total 121.759 ms
frame 87: 56565 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.339  submit 0.781  passA 9.776  passW 0.280  passB 107.717  gpu 117.493  total 122.717 ms
frame 88: 56826 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.259  submit 0.903  passA 9.754  passW 0.279  passB 110.693  gpu 120.448  total 123.828 ms
frame 89: 56423 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.225  submit 0.797  passA 8.657  passW 0.262  passB 92.246  gpu 100.904  total 107.172 ms
frame 90: 57023 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.474  submit 2.202  passA 7.893  passW 0.266  passB 86.858  gpu 94.751  total 97.641 ms
frame 91: 56391 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.558  submit 1.750  passA 7.867  passW 0.266  passB 88.199  gpu 96.066  total 98.561 ms
frame 92: 56762 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.535  submit 1.704  passA 8.651  passW 0.269  passB 88.341  gpu 96.992  total 99.456 ms
frame 93: 56652 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.464  submit 1.477  passA 7.800  passW 0.275  passB 83.607  gpu 91.407  total 93.599 ms
frame 94: 56739 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.219  submit 0.724  passA 7.850  passW 0.266  passB 83.253  gpu 91.103  total 93.420 ms
frame 95: 56423 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.677  submit 2.460  passA 7.819  passW 0.257  passB 83.663  gpu 91.482  total 95.480 ms
frame 96: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.477  submit 1.034  passA 0.412  passW 0.008  passB 0.310  gpu 0.722  total 2.372 ms
frame 97: 1308 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.396  submit 0.434  passA 0.399  passW 0.008  passB 0.294  gpu 0.693  total 1.669 ms
frame 98: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.604  submit 0.403  passA 0.363  passW 0.007  passB 0.288  gpu 0.651  total 1.808 ms
frame 99: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.553  submit 0.448  passA 0.361  passW 0.007  passB 0.283  gpu 0.644  total 1.797 ms
frame 100: 1368 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.813  submit 0.694  passA 0.404  passW 0.008  passB 0.381  gpu 0.785  total 3.456 ms
frame 101: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 4.866  submit 0.628  passA 0.362  passW 0.007  passB 0.236  gpu 0.598  total 6.284 ms
frame 102: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.561  submit 0.466  passA 0.361  passW 0.007  passB 0.232  gpu 0.593  total 1.772 ms
frame 103: 1272 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.542  submit 0.402  passA 0.399  passW 0.008  passB 0.307  gpu 0.706  total 1.864 ms
frame 104: 1345 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.764  submit 0.570  passA 0.405  passW 0.008  passB 0.313  gpu 0.718  total 2.214 ms
frame 105: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.488  submit 0.475  passA 0.405  passW 0.008  passB 0.317  gpu 0.722  total 1.875 ms
frame 106: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.406  submit 0.397  passA 0.368  passW 0.007  passB 0.226  gpu 0.594  total 1.553 ms
frame 107: 1276 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.405  submit 0.412  passA 0.370  passW 0.008  passB 0.236  gpu 0.607  total 1.594 ms
frame 108: 1240 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.402  submit 0.402  passA 0.361  passW 0.007  passB 0.288  gpu 0.648  total 1.610 ms
frame 109: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.408  submit 0.452  passA 0.441  passW 0.008  passB 0.295  gpu 0.736  total 1.740 ms
frame 110: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.425  submit 0.398  passA 0.398  passW 0.008  passB 0.293  gpu 0.691  total 1.671 ms
frame 111: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.370  submit 0.392  passA 0.398  passW 0.008  passB 0.298  gpu 0.696  total 1.610 ms
frame 112: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.404  submit 0.406  passA 0.362  passW 0.007  passB 0.287  gpu 0.650  total 1.609 ms
frame 113: 1286 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.393  submit 0.405  passA 0.403  passW 0.008  passB 0.310  gpu 0.713  total 1.666 ms
frame 114: 1322 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.391  submit 0.413  passA 0.401  passW 0.009  passB 0.301  gpu 0.702  total 1.658 ms
frame 115: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.553  submit 0.507  passA 0.360  passW 0.007  passB 0.235  gpu 0.595  total 1.804 ms
frame 116: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.374  submit 0.387  passA 0.358  passW 0.007  passB 0.287  gpu 0.645  total 1.552 ms
frame 117: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.408  submit 0.389  passA 0.395  passW 0.008  passB 0.291  gpu 0.686  total 1.707 ms
frame 118: 1272 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.188  submit 0.821  passA 0.398  passW 0.009  passB 0.297  gpu 0.695  total 3.049 ms
frame 119: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.707  submit 0.687  passA 0.397  passW 0.008  passB 0.300  gpu 0.697  total 2.302 ms
decode-throughput status complete (decode-only, --no-out): 120 frames, 7.436052 s, 16.138 fps, frame wall ms max 829.226 p50 31.107 p95 124.355 p99 472.193, <=4.167ms 38.3%
120 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
