frame 101: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.133  submit 0.127  passA 0.357  passW 0.007  passB 0.223  gpu 0.581  total 1.195 ms
frame 102: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.137  submit 0.135  passA 1.496  passW 0.008  passB 0.293  gpu 1.789  total 2.608 ms
frame 103: 1272 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.189  submit 0.155  passA 0.397  passW 0.008  passB 0.311  gpu 0.708  total 1.175 ms
frame 104: 1345 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.165  submit 0.144  passA 0.397  passW 0.008  passB 0.304  gpu 0.702  total 1.136 ms
frame 105: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.151  submit 0.150  passA 0.401  passW 0.009  passB 0.315  gpu 0.715  total 1.192 ms
frame 106: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.213  submit 0.292  passA 0.373  passW 0.007  passB 1.066  gpu 1.439  total 3.497 ms
frame 107: 1276 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.193  submit 0.211  passA 0.367  passW 0.008  passB 0.235  gpu 0.602  total 1.129 ms
frame 108: 1240 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.156  submit 0.204  passA 0.362  passW 0.007  passB 0.288  gpu 0.651  total 1.128 ms
frame 109: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.148  submit 0.156  passA 0.397  passW 0.009  passB 0.313  gpu 0.711  total 1.133 ms
frame 110: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.134  submit 0.144  passA 0.403  passW 0.008  passB 0.312  gpu 0.715  total 2.936 ms
frame 111: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.136  submit 0.148  passA 0.403  passW 0.008  passB 0.302  gpu 0.705  total 1.062 ms
frame 112: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.136  submit 0.141  passA 0.359  passW 0.007  passB 0.291  gpu 0.650  total 1.049 ms
frame 113: 1286 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.135  submit 0.134  passA 0.395  passW 0.008  passB 0.319  gpu 0.714  total 1.109 ms
frame 114: 1322 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.142  submit 0.148  passA 0.405  passW 0.009  passB 0.318  gpu 0.723  total 1.132 ms
frame 115: 1258 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.158  submit 0.204  passA 0.360  passW 0.009  passB 0.312  gpu 0.672  total 1.162 ms
frame 116: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.139  submit 0.150  passA 1.159  passW 0.008  passB 0.295  gpu 1.454  total 1.863 ms
frame 117: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.134  submit 0.132  passA 0.403  passW 0.008  passB 0.307  gpu 0.710  total 1.091 ms
frame 118: 1272 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.132  submit 0.138  passA 0.400  passW 0.008  passB 0.312  gpu 0.713  total 1.102 ms
frame 119: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.134  submit 0.135  passA 0.423  passW 0.009  passB 2.363  gpu 2.785  total 3.176 ms
decode-throughput status complete (decode-only, --no-out): 120 frames, 6.336745 s, 18.937 fps, frame wall ms max 838.605 p50 31.580 p95 119.908 p99 471.672, <=4.167ms 39.2%
120 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
